Sensor_X,Sensor_Y,R2,MSE
Pressure_1,Pressure_2,0.9128303098728344,2.1425823620221656
Pressure_1,Pressure_3,0.34546785031599725,7.936417165353615
Pressure_1,Pressure_4,0.2990485216814649,7.24303211979229
Pressure_1,Pressure_5,0.4525332923474874,5.3691433890543285
Pressure_1,Pressure_6,0.3293247934403135,6.604308370347719
Pressure_1,Pressure_7,0.3040209771316057,6.724387567696645
Pressure_1,Pressure_8,0.19160032499523194,6.218648214258332
Pressure_1,Pressure_9,0.10786660388228508,6.771058430286708
Pressure_1,Pressure_10,1.0,0.0
Pressure_1,Pressure_11,0.3388478016173042,8.032871878514776
Pressure_2,Pressure_3,0.6372368498902286,4.398622272227411
Pressure_2,Pressure_4,0.5921825804578771,4.214035864280018
Pressure_2,Pressure_5,0.7361869089627409,2.5872811878594364
Pressure_2,Pressure_6,0.6227971068394744,3.7144122822106067
Pressure_2,Pressure_7,0.5960938182697676,3.902447656753846
Pressure_2,Pressure_8,0.4414429731307816,4.296723223795483
Pressure_2,Pressure_9,0.3247881613002356,5.12468071765153
Pressure_2,Pressure_10,1.0,0.0
Pressure_2,Pressure_11,0.6304112138307354,4.490432572554234
Pressure_3,Pressure_4,0.9866111649068501,0.13834875255405088
Pressure_3,Pressure_5,0.9349059449399028,0.638393733367424
Pressure_3,Pressure_6,0.97237537430982,0.27202667533996816
Pressure_3,Pressure_7,0.9682876841972479,0.3063970250827801
Pressure_3,Pressure_8,0.7927600133716954,1.5942022400756477
Pressure_3,Pressure_9,0.7214322949462282,2.1142558006662533
Pressure_3,Pressure_10,1.0,0.0
Pressure_3,Pressure_11,0.9999446122600996,0.000672950372621236
Pressure_4,Pressure_5,0.9561107840097542,0.43043255524201757
Pressure_4,Pressure_6,0.9948116618762837,0.05109087761633921
Pressure_4,Pressure_7,0.9949931511267761,0.04837501018016863
Pressure_4,Pressure_8,0.8764499378933237,0.9504140054072348
Pressure_4,Pressure_9,0.8184709580687328,1.3777578051213237
Pressure_4,Pressure_10,1.0,0.0
Pressure_4,Pressure_11,0.9867531984756205,0.16094608730902393
Pressure_5,Pressure_6,0.9773512458930493,0.2230280094798311
Pressure_5,Pressure_7,0.9705999803960965,0.28405615660618844
Pressure_5,Pressure_8,0.8923947318285069,0.8277580130836857
Pressure_5,Pressure_9,0.8106012307783319,1.437486970676175
Pressure_5,Pressure_10,1.0,0.0
Pressure_5,Pressure_11,0.9322567139704846,0.823067878524534
Pressure_6,Pressure_7,0.9992239986815051,0.007497544390198817
Pressure_6,Pressure_8,0.905521614362425,0.7267789217352804
Pressure_6,Pressure_9,0.8443794814627307,1.1811189095182477
Pressure_6,Pressure_10,1.0,0.0
Pressure_6,Pressure_11,0.9717323534948531,0.3434464609487024
Pressure_7,Pressure_8,0.9148924643040454,0.65469326774835
Pressure_7,Pressure_9,0.8593812102680047,1.0672597235065369
Pressure_7,Pressure_10,1.0,0.0
Pressure_7,Pressure_11,0.9679707715556142,0.38914895706435665
Pressure_8,Pressure_9,0.9854528786748961,0.11040883450096951
Pressure_8,Pressure_10,1.0,0.0
Pressure_8,Pressure_11,0.792428662035248,2.521951779940392
Pressure_9,Pressure_10,1.0,0.0
Pressure_9,Pressure_11,0.7222168493853,3.37501178148765
Pressure_10,Pressure_11,0.0,12.149807409193693
